CHEMBL1087095	CC(=O)Nc1cc(O)ccc1/C=C/c1ccc(O)cc1
CHEMBL1161567	COc1cc(C(=O)N(O)CCOC(=O)[C@@H](N)CCSC)ccc1O
CHEMBL1171111	COC(=O)C1=C(C)Nc2n[nH]c(C)c2C1c1cccc(O)c1
CHEMBL1162209	COc1c(O)cc(C(=O)O)cc1OS(=O)(=O)O
CHEMBL1171643	CC(C)=CCC/C(C)=C/CC[C@@]1(C)C=Cc2c(cc(C)c(C(=O)O)c2O)O1
CHEMBL1187868	Oc1ccc(-c2ccc3c(c2)CCC=C3c2ccncc2)cc1O
CHEMBL1160680	CCCc1csc(SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)n1
CHEMBL1215806	O=C(O)c1c(O)c(C2(c3ccccc3)CC2)nc2c3c(ccc12)CCCC3
CHEMBL1199189	Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O
CHEMBL1187911	CNC1CCc2c(ccc(C)c2O)C1
CHEMBL1099016	CC(C)/N=C1\S/C(=C\c2ccc(O)c(Cl)c2)C(=O)N1CCC(=O)O
CHEMBL1163095	Nc1nc(O)c2ncn(C3O[C@H](COP(=S)(S)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1
CHEMBL1214724	COc1cc2c(/C=C3/C(=O)N(C)c4ccc(O)cc43)c[nH]c2cc1C
CHEMBL1189651	CSc1cc(C(C)(C)C)cc(CN)c1O
CHEMBL3309273	Cc1sc(-c2ncc(C#N)cc2O)nc1CC(=O)NCCc1ccccn1
CHEMBL2070335	COc1cc(OC)c2c(O)cc(=O)oc2c1
CHEMBL6335	O=c1oc2c(Cl)c(Cl)ccc2c2cc(O)c(O)cc12
CHEMBL3309284	Cn1c(=O)ccc2cc(C(=O)NCCCCCCC(=O)NO)ccc21
CHEMBL6498	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NC)cc1
CHEMBL3309440	C[C@H]1CC=C2[C@H]1C[C@]1(O)C(=O)C[C@@]2(C)C1(C)CO
CHEMBL1222611	O=C(/C=C/c1ccc(O)c(O)c1)NCCN1CCOCC1
CHEMBL1163139	O=C(c1csc(-c2cccc(O)c2O)n1)N(O)CCc1c[nH]cn1
