mol_rank,mol_id,step,smiles,bde,ip,reward
2,3,0,Cc1c(C)c(N(C)C)c(O)c(N(C)C)c1C,78.19389649,127.4784534,1.1729706319415008
2,3,1,Cc1c(N(C)C)c(O)c2c(ccn2C)c1C,79.2378921508789,161.85223388897478,1.2098609387262593
2,3,2,Cc1c(CN)c(N(C)C)c(O)c2c1ccn2C,74.20684814453125,153.05766321608724,1.3493548416638481
2,3,3,Cc1c(CN)c(N(C)C=N)c(O)c2c1ccn2C,74.3501968383789,149.21766112616956,1.294244196981179
2,3,4,Cc1c(CN)c(N(C=N)CO)c(O)c2c1ccn2C,75.32793426513672,141.32461405869125,1.187212981916799
2,3,5,Cc1c(CNO)c(N(C=N)CO)c(O)c2c1ccn2C,76.23880004882812,136.8740461795658,1.0991598241020932
2,3,6,Cc1c(CNO)c(N(C=N)CO)c(O)c2c1cc(N)n2C,71.84150695800781,149.16714896231295,1.2984446662570666
2,3,7,Cc1c(CNO)c(N(C=N)CO)c(O)c2c1cc(N)n2C=N,71.84150695800781,149.77506842463762,1.270083857864936
2,3,8,CN=CN(CO)c1c(CNO)c(C)c2cc(N)n(C=N)c2c1O,71.84150695800781,150.91270342437625,1.2442405699341543
2,3,9,Cc1c(CNO)c(N(C=NC=N)CO)c(O)c2c1cc(N)n2C=N,71.84150695800781,138.38310746971666,1.153442544701061
2,3,10,Cc1c(CNO)c(N(C=NC=N)CO)c(O)c2c1cc(NO)n2C=N,71.84150695800781,145.625024450244,1.1566104027591284
2,7,0,Cc1ccc(O)c(N(C)C)c1,71.90625631,130.8544518,1.2850924740607645
2,7,1,Cc1ccc(O)c(N2C=C2)c1,78.1409683227539,170.28260455479324,1.292860807514634
2,7,2,Cc1cc(N2C=C2)c(O)cc1N,84.56237030029297,137.76251374762953,0.8642441698651151
2,7,3,Cc1cc(N2C=C2)c(O)cc1NO,84.7979507446289,130.5135316481933,0.7751175315627139
2,7,4,CC1=CN1c1cc(C)c(NO)cc1O,69.42219543457031,121.60590567103029,1.2891382785366319
2,7,5,Cc1cc(N2CC2C)c(O)cc1NO,69.42219543457031,135.4639329793632,1.3095452471184281
2,7,6,Cc1cc(N2CC2CN)c(O)cc1NO,69.42219543457031,162.55262943494768,1.4382866994290964
2,7,7,Cc1cc(N2CC2C(C)N)c(O)cc1NO,69.42218780517578,166.09785730737002,1.4096814650858387
2,7,8,Cc1cc(N2CC2C(N)C=N)c(O)cc1NO,69.42218780517578,155.85269573235215,1.3155358730728923
2,7,9,Cc1cc(N2CC2C(N)C=N)c(O)cc1NO,69.42218780517578,167.32939722171128,1.324625377750058
2,7,10,Cc1cc(N2CC2C(N)C=N)c(O)cc1NO,69.42218780517578,164.24431545803844,1.3099632507849002
2,9,0,Cc1cccc(O)c1N(C)C,76.26744386,134.7324574,1.0491637573691692
2,9,1,Cc1ccc(N)c(O)c1N(C)C,82.87566375732422,168.8592270749271,1.1007793238840202
2,9,2,Cc1ccc(N)c(O)c1N(C)C#N,75.01399993896484,165.4655686829567,1.346902923068022
2,9,3,Cc1ccc(N)c(O)c1N(C)C#N,74.96501922607422,181.26598239816875,1.378458369872117
2,9,4,Cc1ccc(N)c(O)c1N(C)C#N,74.96501922607422,187.46402737264037,1.4079151328731956
2,9,5,Cc1c(N)cc(N)c(O)c1N(C)C#N,74.96501922607422,199.7817597921908,1.4664562577097953
2,9,6,Cc1c(NO)cc(N)c(O)c1N(C)C#N,73.9487533569336,185.20092820883988,1.391481818851926
2,9,7,CN(C#N)c1c(O)c(N)cc(NO)c1CO,70.34581756591797,163.37977857483924,1.383339805442803
2,9,8,COc1c(N)cc(NO)c(CO)c1N(C)C#N,69.8397445678711,165.7364242427841,1.368893209308539
2,9,9,CN(C#N)c1c(CO)c(NO)cc(N)c1OCN,69.8397445678711,163.21194145191907,1.3114408336386438
2,9,10,CN(C=N)c1c(CO)c(NO)cc(N)c1OCN,69.8397445678711,172.2262373228729,1.308827535413823
2,13,0,Cc1cc(N(C)C)c(O)c(C)c1C,69.77272571,126.2987364,1.2727234408436037
2,13,1,Cc1c(CN)cc(N(C)C)c(O)c1C,76.90568542480469,157.18382392713428,1.2789568561940563
2,13,2,C#CN(C)c1cc(CN)c(C)c(C)c1O,76.90568542480469,164.20411644343733,1.2738598857056012
2,13,3,CC#CN(C)c1cc(CN)c(C)c(C)c1O,79.4486083984375,151.1144022601992,1.0736578883116492
2,13,4,C=CC#CN(C)c1cc(CN)c(C)c(C)c1O,79.44861602783203,144.69557128892242,1.0046899830396858
2,13,5,C=CC#CN(C)c1cc(CN)c(CC)c(C)c1O,79.44861602783203,157.39917191291153,1.0266034425625894
2,13,6,C=CC#CN(C)c1cc(CNO)c(CC)c(C)c1O,79.32726287841797,161.05708499558867,1.0102762452814142
2,13,7,C=CC#CN1COc2c1cc(CNO)c(CC)c2C,71.67794799804688,162.46717414139806,1.277911718990127
2,13,8,C=CC#CN1COc2c1cc(CNO)c(CC)c2CN,71.6779556274414,135.86554718957245,1.1322540402057208
2,13,9,CC=CC#CN1COc2c1cc(CNO)c(CC)c2CN,71.67794799804688,0.0,-1000.0
2,13,10,CCc1c(CNO)cc2c(c1CN)OCN2C#CC=CC=O,71.67794799804688,149.18885186673552,1.118651458812555
3,11,0,COc1c(O)cc(C(C)(C)C)c(OC)c1C(C)(C)C,76.3050944,145.4754115,1.0405304991311577
3,11,1,COc1c(O)cc2c(c1C(C)(C)C)OCCC2(C)C,84.39051818847656,171.94449783740342,1.0561506985080713
