rank 0/1 started on maple-1.maple.cluster
All ranks is initialized
rank: 0 init_mols: ['C(C(=O)O)N(CC(=O)O)CC(=O)O']
episodes: 0, episode time: 0.628, remaining time: 124.935, reward: 0.157, loss: None
episodes: 190, episode time: 0.438, remaining time: 3.944, reward: 1.680, loss: 2.0763043330503512
episodes: 191, episode time: 0.442, remaining time: 3.539, reward: 1.661, loss: 2.064720506562715
episodes: 192, episode time: 0.411, remaining time: 2.875, reward: 2.093, loss: 2.05328559051606
episodes: 193, episode time: 0.410, remaining time: 2.462, reward: 2.080, loss: 2.0419465945128144
episodes: 194, episode time: 0.414, remaining time: 2.068, reward: 2.087, loss: 2.0307544200238645
episodes: 195, episode time: 0.414, remaining time: 1.654, reward: 2.046, loss: 2.0196918752070023
episodes: 196, episode time: 0.406, remaining time: 1.218, reward: 2.019, loss: 2.0087504805869782
episodes: 197, episode time: 0.418, remaining time: 0.837, reward: 2.025, loss: 1.9979215312733962
episodes: 198, episode time: 0.410, remaining time: 0.410, reward: 2.081, loss: 1.9872333887888975
episodes: 199, episode time: 0.483, remaining time: 0.000, reward: 2.005, loss: 1.9766461693816968
The computation time of test 1 is  123.30726361274719
