smiles,success,failed
C=CCNOC1=C(N)C23N=C(C(=O)OC1(N=O)O2)C(N)OC3=O, 512, 488
CNOC1=C(N)C23N=C(C(=O)OC1(N=O)O2)C(N)OC3=O, 510, 490
CNOC1=C(N)C2(C(=O)OCN)N=CC(=O)OC1(N=O)O2, 747, 253
C=NC1(C(=O)OCN)OC(N=O)(OC=O)C(ONC)=C1N, 1000, 0
C=NC1(C(=O)OC#N)OC(N=O)(OC=O)C(ONC)=C1N, 1000, 0
C=NC1(C(=O)OC#N)OC2(N=O)OC(=O)N(C)OC2=C1N, 991, 9
C=NC(C(=O)OC#N)C(N)=C1ON(C)C(=O)OC1(O)N=O, 998, 2
C=NC(C(=O)OC#N)C(N)=C1ON(C)C(=O)OC1(O)N=O, 996, 4
C=NC(C(=O)OC)C(N)=C1ON(C)C(=O)OC1(O)N=O, 999, 1
C=NC(C(=O)OC)C(N)=C(ON(C)C(=O)O)C(O)N=O, 991, 9
C=NC(C(=O)OC=N)C(N)=C(ON(C)C(=O)O)C(O)N=O, 997, 3
C=NC(C(=O)OC=N)C(N)=C(ON(C)C(=O)O)C(O)N=O, 993, 7
C=CN(OC(=C(N)C(N=C)C(=O)OC=N)C(O)N=O)C(=O)O, 990, 10
C=CN(OC(=C(N)C(N)C(=O)OC=N)C(O)N=O)C(=O)O, 988, 12
C=C1N(C(=O)O)OC(C(O)N=O)=C(N)C1(N)C(=O)OC=N, 1000, 0
C=C1NOC(C(O)N=O)=C(N)C1(N)C(=O)OC=N, 997, 3
C=C1NOC(C(O)N=O)=C(N)C1(N)C(=O)OC=NO, 996, 4
C=C(N)C(N)(C(=O)OC=NO)C(N)=C(O)C(O)N=O, 1000, 0
C=C(N)C(N)C(N)=C(O)C(O)N=O, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
O=C(O)CN(CC(=O)O)C(O)C(=O)O, 997, 3
C=C(C(=O)O)N(CC(=O)O)C(O)C(=O)O, 993, 7
C=C(C=O)N(CC(=O)O)C(O)C(=O)O, 997, 3
C=C(C=O)N(CC(=O)O)CC(=O)O, 997, 3
C=C1C(=O)OC(=O)CN1CC(=O)O, 993, 7
N=C=C1C(=O)OC(=O)CN1CC(=O)O, 997, 3
CN(CC(=O)O)C(=C=N)C(=O)OC=O, 1000, 0
N=C=C(C(=O)OC=O)N(CO)CC(=O)O, 1000, 0
COC(=O)CN(CO)C(=C=N)C(=O)OC=O, 998, 2
COC(=O)CN(CO)C(=C=N)COC=O, 998, 2
COC(=O)CN(C)C(=C=N)COC=O, 1000, 0
N=C=C(COC=O)N1C=COC(=O)C1, 999, 1
COC(=O)CN(C)C(=C=N)COC=O, 999, 1
CCN(CC(=O)OC)C(=C=N)COC=O, 999, 1
CCNC(=C=N)COC=O, 1000, 0
CC(=N)NC(=C=N)COC=O, 1000, 0
CC(=N)N1C(=O)OCC1=C=N, 998, 2
N=C=C1COC(=O)N1C(=N)CO, 999, 1
N=CC1COC(=O)N1C(=N)CO, 1000, 0
N=CC1COC(=O)N1C(=N)CO, 999, 1
C=C1OC(=O)N(C(=N)CO)C1C=N, 999, 1
N=CC1C(=CO)OC(=O)N1C(=N)CO, 999, 1
N=CC1C(=CO)OC(=O)N1C(=N)C=O, 998, 2
N#CC1C(=CO)OC(=O)N1C(=N)C=O, 994, 6
N=CC1C(=CO)OC(=O)N1C(=N)C=O, 1000, 0
N=CC1C(CO)OC(=O)N1C(=N)C=O, 998, 2
N=C(C=O)N1C(=O)OC2C(O)N=CC21, 713, 287
O=CCN1C(=O)OC2C(O)N=CC21, 705, 295
NC(C=O)N1C(=O)OC2C(O)N=CC21, 722, 278
NC1(C=O)N2C(=O)OC3C2C=NC31O, 0, 1000
CC1=NC2(O)C3OC(=O)N(C13)C2(N)C=O, 0, 1000
NC1(C=O)N2C(=O)OC3C24CC4=NC31O, 1, 999
NC1(C=O)NC23CC2=NC1(O)C3OC=O, 875, 125
NC1(C=O)NC23CC2=NC1C3OC=O, 920, 80
CNC1(C=O)NC23CC2=NC1C3OC=O, 947, 53
CNC1(C=O)NC2C(C)=NC1C2OC=O, 908, 92
CNC1(C=O)C2N=C(C)C(C2OC=O)N1C, 891, 109
CNC1(C=O)CN=C(C)C(COC=O)N1C, 996, 4
CNC1(C=O)C(N)N=C(C)C(COC=O)N1C, 995, 5
C=CC1=NC(N)C(C=O)(NC)N(C)C1COC=O, 980, 20
O=C(O)CN(CC(=O)O)CC(=O)O, 998, 2
