smiles,BDE,IP
C1=CC(=C(C=C1O)O)C(=O)O,78.08749694824219,164.70157476469996
C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,78.08750381469727,125.88925551858902
C1=CC(=C(C=C1S(=O)(=O)O)N)O,66.89128189086914,171.71695743572238
C1=CC(=C(N=C1)NC(=O)CCC(=O)C2=CC=C(S2)Cl)O,80.35217056274415,141.01671865080834
C1=CC(=C2C(=C1)OC(=S)N2)O,75.56360778808595,146.59734446455002
C1=CC(=CC(=C1)C(=O)O)CSC2=NN=C(O2)C3=CC=C(C=C3)Cl,78.46903839111329,143.3207957791877
C1=CC(=CC(=C1)C(F)(F)F)C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O,79.63871154785157,157.73995352496388
C1=CC(=CC(=C1)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,78.71694488525391,138.50292735044002
C1=CC(=CC(=C1)Cl)C2=NC3=C(C=C(C=C3)Br)C(=O)N2O,79.63871841430664,143.2948428758526
C1=CC(=CC(=C1)Cl)N(CCO)CCO,82.44836196899415,138.42624194500686
C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC(=C2)Br)Br)O)C(F)(F)F,77.46593170166015,157.04650303211452
C1=CC(=CC(=C1)O)C(=O)O,80.16354904174806,171.58683169078827
C1=CC(=CC(=C1)O)CC(CO)C(CC2=CC(=CC=C2)O)CO,77.96780090332031,137.79660212164285
C1=CC(=CC=C1C(=O)C2=C(C(=C(C=C2)O)O)O)O,68.15898056030274,146.91291995908497
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,78.08750381469727,154.56280473978043
C1=CC(=CC=C1C(=O)NC2=NC(=CS2)CC(=O)NO)F,68.4130256652832,139.95814418728472
C1=CC(=CC=C1C(=O)O)OCCCOC2=CC=C(C=C2)C(=O)O,84.86259384155274,145.76358180979966
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,83.99878005981445,134.32181142293692
C1=CC(=CC=C1C2=C(C3=C(O2)C=CC(=C3)O)C=O)Cl,76.59666595458985,152.0163324535799
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,83.99878005981445,141.6318628844857
C1=CC(=CC=C1C2=CN(C(=O)C=N2)O)Cl,78.12984924316406,146.37138794156908
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,83.99878005981445,143.07821203492404
C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)Br)C(=O)N2O)Cl,79.63871841430664,144.28449174372673
C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,73.63258895874024,147.89392409041406
C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,78.08750381469727,145.75194498165132
C1=CC(=CC=C1CC(=O)O)OCC2=CN=C(C=C2)Cl,75.8460319519043,155.48419576195957
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,79.81872940063477,140.31741428083657
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,78.1833869934082,140.20620216161967
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,79.81872940063477,132.2492618149972
C1=CC(=CC=C1CCO)NCCCCCCO,83.04872360229493,128.62763237898113
C1=CC(=CC=C1N2C(=C(C(=O)NC2=O)C=NC(CO)(CO)CO)O)Br,84.05209808349609,129.81745668359517
C1=CC(=CC=C1N2C(=O)C(=CC3=C(C=C(C=C3)O)O)C(=O)N2)Br,78.08750381469727,130.05987300928234
C1=CC(=CC=C1NC(=O)C2=C(C(=CC(=C2)Br)Br)O)Br,77.46593170166015,137.16375797820092
C1=CC(=CN=C1)C=NNC(=O)C2=CC(=C(C(=C2)O)O)O,65.70692825317383,146.60670451002122
C1=CC(=O)OC2=CC(=C(C=C21)O)O,76.59284133911133,154.07279530808808
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,74.4140739440918,155.3782107311058
C1=CC2=C(C(=C1)O)C(=O)OC2CC(=O)O,77.0762809753418,167.34161699089645
C1=CC2=C(C(=C1)O)C(=O)OC2CCO,82.7899543762207,165.77037385731222
C1=CC2=C(C(=C1)O)N=C(C=C2)C=CC3=C(C=CC(=C3)Cl)O,79.29404983520509,140.56351354029894
C1=CC2=C(C(=O)N=C2C=C1)C3=C(N=C(S3)NC4=CC(=CC=C4)O)O,68.79477996826172,127.4406286237836
C1=CC2=C(C(=O)N=C2C=C1)C3=C(NC(=S)N3)O,54.89024963378906,138.95339713281155
C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O,73.19768142700195,152.39220832564115
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,76.59666595458985,138.29389659812452
C1=CC2=C(C=C1O)C(=CN2)CCN,80.93010635375977,134.42896920854807
C1=CC2=C(C=C1O)OC(=O)C3C2C4=C(NC(=O)S4)SC3C(=O)O,71.5460792541504,133.65132064219
C1=CC=C(C(=C1)C(=O)N)O,83.36179962158204,159.45611984143974
C1=CC=C(C(=C1)C(=O)NC2=NNC(=S)S2)C(=O)O,76.39126281738281,138.87029319055796
C1=CC=C(C(=C1)C(=O)NN2C(=O)C(=CC3=CC(=CC=C3)O)SC2=S)O,81.73133926391601,136.00232115641833
C1=CC=C(C(=C1)C(=O)NN2C(=O)C(=CC3=CC=C(C=C3)O)SC2=S)O,81.73133926391601,135.74607671609164
C1=CC=C(C(=C1)C(=O)NN=CC2=C3C=CC=CC3=C(O2)O)O,81.73133926391601,118.97163100104808
C1=CC=C(C(=C1)C(=O)NN=CC2=CC(=CC=C2)C(F)(F)F)O,81.73133926391601,141.99386225821377
C1=CC=C(C(=C1)C(=O)NN=CC2=CC(=CC=C2)O)O,81.73133926391601,143.00620170389413
C1=CC=C(C(=C1)C(=O)NNC2=NC(=O)C3=C(S2)N=CC=C3)O,81.7313461303711,148.77726216222408
C1=CC=C(C(=C1)C(=O)NO)O,81.73133926391601,157.72188661388637
C1=CC=C(C(=C1)C2(C3=C(C=C(C=C3)Br)NC2=O)O)O,81.36376419067383,149.86522669568657
C1=CC=C(C(=C1)C2=NC(=NC(=N2)C=CC3=CC=C(C=C3)F)N)O,84.14650497436524,143.0109240623617
C1=CC=C(C(=C1)C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O)Cl,79.60389862060548,130.34056358575583
C1=CC=C(C(=C1)C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O)C(=O)O,79.6038917541504,148.50570455775025
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=O)N2O)C(=O)O,79.6038917541504,144.75067578006983
C1=CC=C(C(=C1)C2=NSN=C2C(=O)N)O,80.93544158935548,155.32599207987073
