ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL3251041,,,Small molecule,0,166.15,3,4,1.34,54.37,2,1,0,3,Y,0.54,3.87,None,1.42,-1.81,1,MOL,-1,12,3,1,0,164.0473,ACID,C9H8O3,O=C(O)C[14C](=O)c1ccccc1
CHEMBL1889159,,,Small molecule,0,167.24,3,3,1.43,41.61,4,0,0,3,N,0.5,None,5.03,1.06,1.06,1,MOL,-1,11,3,0,0,167.0517,NEUTRAL,C7H9N3S,Cn1ccnc1SCCC#N
CHEMBL460670,,,Small molecule,0,177.63,1,1,0.44,42.16,4,0,0,2,N,0.6,None,6.41,-0.28,-0.33,1,MOL,-1,10,4,0,0,141.0902,NEUTRAL,C6H12ClN3O,Cc1nonc1CN(C)C.Cl
CHEMBL3251113,,,Small molecule,0,194.19,2,2,2.16,71.1,4,0,0,3,N,0.42,None,None,2.31,2.31,1,MOL,-1,14,6,0,0,194.0804,NEUTRAL,C8H10N4O2,CN(C)/N=N/c1ccc([N+](=O)[O-])cc1
CHEMBL3251115,,,Small molecule,0,174.21,1,1,2.12,51.75,3,0,0,2,Y,0.51,None,None,2.22,2.22,1,MOL,-1,13,4,0,0,174.0905,NEUTRAL,C9H10N4,CN(C)/N=N/c1ccccc1C#N
CHEMBL1321898,,,Small molecule,0,195.29,9,14,1.87,50.41,2,3,0,1,Y,0.21,7.2,4.99,2.94,2.59,1,MOL,-1,13,3,3,0,195.083,NEUTRAL,C9H13N3S,Cc1cc(C)cc(NC(S)=NN)c1
CHEMBL3086195,,,Small molecule,0,184.29,12,17,1.94,17.82,4,0,0,2,N,0.52,None,4.13,2.07,2.07,1,MOL,-1,11,2,0,0,184.0129,NEUTRAL,C7H8N2S2,C=CCSC(=S)n1ccnc1
CHEMBL3086200,,,Small molecule,0,172.28,12,17,1.69,17.82,4,0,0,0,N,0.55,None,4.78,1.56,1.56,1,MOL,-1,10,2,0,0,172.0129,NEUTRAL,C6H8N2S2,CSC(=S)n1ccnc1C
CHEMBL3086206,,,Small molecule,0,159.24,14,19,0.77,30.71,5,0,0,0,N,0.52,None,None,1.17,1.17,1,MOL,-1,9,3,0,0,158.9925,NEUTRAL,C4H5N3S2,CSC(=S)n1cncn1
CHEMBL3086512,,,Small molecule,0,178.19,1,1,0.9,76.88,3,2,0,2,N,0.71,6.33,None,1.1,-0.2,1,MOL,-1,13,4,2,0,178.0742,ACID,C9H10N2O2,CCCc1cc(O)[nH]c(=O)c1C#N
